rank,name,slug,tvl,category,chains,defillama_github,open_source_flag,tvl_code_path,best_source_repo,best_source_score,best_source_language,best_source_description
1,Binance CEX,binance-cex,153890457104.54,CEX,Ethereum;Bitcoin;Binance;Solana;Ripple;Tron;Doge;Arbitrum;Base;Plasma;Aptos;Avalanche;Near;Polygon;Hedera;TON;Stellar;Optimism;Sonic;Chiliz;Algorand;Celo;Ronin;zkSync Era;Op_Bnb;Manta;Scroll;Starknet;Polkadot;Sui;Fantom;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/binance/index.js,,,,
2,OKX,okx,24371902732.91,CEX,Ethereum;Bitcoin;Solana;Tron;Doge;Ripple;TON;Avalanche;Aptos;Linea;Arbitrum;Optimism;Base;zkSync Era;Scroll;Starknet;Polygon;Polkadot;Litecoin,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/okex/index.js,,,,
3,Bitfinex,bitfinex,18819795953.72,CEX,Bitcoin;Ethereum;Tron;Solana;Avalanche;Polygon;Near;Tezos;Algorand;EOS;Cosmos;Aptos;Elrond;Cardano;EthereumClassic;Fantom;Doge;Zilliqa;Litecoin;Polkadot,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bitfinex/index.js,,,,
4,Lido,lido,18647316928.58,Liquid Staking,Ethereum;Solana;Moonbeam;Moonriver;Terra,lidofinance,True,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/lido/index.js,lidofinance/dual-governance,13,Solidity,Lido Dual Governance contracts
5,SSV Network,ssv-network,15624029886.37,Staking Pool,Ethereum,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ssv-network/index.js,,,,
6,Bybit,bybit,15202215895.26,CEX,Ethereum;Bitcoin;Tron;Solana;Mantle;Binance;Ripple;Avalanche;Aptos;Arbitrum;Doge;Sui;Polygon;Base;Hyperliquid L1;Optimism;TON;Klaytn;Linea;Celo;zkSync Era;Kava;Sonic;Cardano;Cosmos;Plasma;dYdX;Arbitrum Nova;Manta;EOS;Scroll;Starknet;Taiko;Fantom;Litecoin;Polkadot,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/bybit/index.js,,,,
7,Aave V3,aave-v3,13952626667.76,Lending,Ethereum;MegaETH;Plasma;Arbitrum;Base;Avalanche;Binance;Mantle;Polygon;xDai;X Layer;Optimism;Linea;Sonic;Celo;Scroll;zkSync Era;Metis;Soneium;Fantom;Harmony,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/aave-v3/index.js,,,,
8,Robinhood,robinhood,13690946011.49,CEX,Bitcoin;Ethereum;Polygon;Avalanche,robinhood,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/robinhood/index.js,,,,
9,WBTC,wbtc,8762904011.48,Bridge,Bitcoin,WrappedBTC,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/wbtc.js,WrappedBTC/bitcoin-token-smart-contracts,7,JavaScript,
10,Binance staked ETH,binance-staked-eth,7775450757.1,Liquid Staking,Ethereum;Binance,,,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/binance-staked-eth/index.js,,,,
